Div,Team,Oponent,Oponent_HTG,HTG,HTR,Referee,Venue,FTR
E0,Huddersfield,Watford,1,0,LOSE,R East,HOME,LOSE
E0,Man City,Tottenham,0,1,WIN,M Oliver,HOME,WIN
E0,Newcastle,Southampton,0,2,WIN,A Taylor,HOME,WIN
E0,West Ham,Leicester,0,1,WIN,L Probert,HOME,DRAW
E0,Wolves,Brighton,0,0,DRAW,C Pawson,HOME,DRAW
E0,Arsenal,Crystal Palace,1,0,LOSE,J Moss,HOME,LOSE
E0,Cardiff,Liverpool,0,0,DRAW,M Atkinson,HOME,LOSE
E0,Everton,Man United,0,2,WIN,P Tierney,HOME,WIN
E0,Chelsea,Burnley,2,2,DRAW,K Friend,HOME,DRAW
E0,Tottenham,Brighton,0,0,DRAW,C Kavanagh,HOME,WIN
E0,Watford,Southampton,1,0,LOSE,M Dean,HOME,DRAW
E0,Man United,Man City,0,0,DRAW,A Marriner,HOME,LOSE
E0,Wolves,Arsenal,0,3,WIN,S Attwell,HOME,WIN
E0,Liverpool,Huddersfield,0,3,WIN,K Friend,HOME,WIN
E0,Brighton,Newcastle,1,0,LOSE,M Dean,HOME,DRAW
E0,Crystal Palace,Everton,0,0,DRAW,L Mason,HOME,DRAW
E0,Fulham,Cardiff,0,0,DRAW,C Kavanagh,HOME,WIN
E0,Southampton,Bournemouth,2,1,LOSE,G Scott,HOME,DRAW
E0,Tottenham,West Ham,0,0,DRAW,A Taylor,HOME,LOSE
E0,Watford,Wolves,1,0,LOSE,S Hooper,HOME,LOSE
E0,Burnley,Man City,0,0,DRAW,P Tierney,HOME,LOSE
E0,Leicester,Arsenal,0,0,DRAW,M Oliver,HOME,WIN
E0,Man United,Chelsea,1,1,DRAW,M Atkinson,HOME,DRAW
E0,Everton,Burnley,0,2,WIN,C Kavanagh,HOME,WIN
E0,Bournemouth,Tottenham,0,0,DRAW,C Pawson,HOME,WIN
E0,Cardiff,Crystal Palace,2,1,LOSE,M Oliver,HOME,LOSE
E0,Newcastle,Liverpool,2,1,LOSE,A Marriner,HOME,LOSE
E0,West Ham,Southampton,0,1,WIN,S Attwell,HOME,WIN
E0,Wolves,Fulham,0,0,DRAW,J Moss,HOME,WIN
E0,Arsenal,Brighton,0,1,WIN,A Taylor,HOME,DRAW
E0,Chelsea,Watford,0,0,DRAW,P Tierney,HOME,WIN
E0,Huddersfield,Man United,1,0,LOSE,L Mason,HOME,DRAW
E0,Man City,Leicester,0,0,DRAW,M Dean,HOME,WIN
E0,Brighton,Man City,2,1,LOSE,M Oliver,HOME,LOSE
E0,Burnley,Arsenal,0,0,DRAW,M Dean,HOME,LOSE
E0,Crystal Palace,Bournemouth,1,3,WIN,R East,HOME,WIN
E0,Fulham,Newcastle,2,0,LOSE,K Friend,HOME,LOSE
